id,email,name,year
1,gavril.vasiliu@email.ro,Gavril Vasiliu,1988
2,tudor.niculescu@email.ro,Tudor Niculescu,1992
3,simion.mondragon@email.ro,Simion Mondragon,1986
4,iuliu.cojocar@email.ro,Iuliu Cojocar,1996
5,codrin.raducan@email.ro,Codrin Raducan,1991
6,dragos.cantacuzino@email.ro,Dragos Cantacuzino,1999
7,dragomir.cutov@email.ro,Dragomir Cutov,1997
8,sanda.ciora@email.ro,Sanda Ciora,1999
9,iuliu.cristea@email.ro,Iuliu Cristea,1990
10,petar.minea@email.ro,Petar Minea,1997
11,danut.baicu@email.ro,Danut Baicu,1992
12,valentin.ungureanu@email.ro,Valentin Ungureanu,1991
13,geza.vaduva@email.ro,Geza Vaduva,1987
14,sanda.radu@email.ro,Sanda Radu,1994
15,ovidiu.iordache@email.ro,Ovidiu Iordache,1994
16,stefan.proca@email.ro,Stefan Proca,1999
17,veaceslav.florea@email.ro,Veaceslav Florea,1996
18,vali.prunea@email.ro,Vali Prunea,1989
19,victor.breban@email.ro,Victor Breban,1998
20,darius.tudor@email.ro,Darius Tudor,1989
21,ion.groza@email.ro,Ion Groza,1986
22,ionache.enache@email.ro,Ionache Enache,1996
23,sandu.lupul@email.ro,Sandu Lupul,1998
24,costel.raducioiu@email.ro,Costel Raducioiu,1995
25,danut.ilica@email.ro,Danut Ilica,1994
26,denis.lucescu@email.ro,Denis Lucescu,1988
27,liviu.anghelescu@email.ro,Liviu Anghelescu,1994
28,sanda.dimir@email.ro,Sanda Dimir,1995
29,claudiu.dumitrescu@email.ro,Claudiu Dumitrescu,1990
30,vali.macedonski@email.ro,Vali Macedonski,1999
31,marin.florea@email.ro,Marin Florea,1986
32,vasile.movila@email.ro,Vasile Movila,1995
33,costea.lupul@email.ro,Costea Lupul,1999
34,matei.lupescu@email.ro,Matei Lupescu,1996
35,iulio.iacobescu@email.ro,Iulio Iacobescu,1990
36,marius.vlaicu@email.ro,Marius Vlaicu,1990
37,liviu.vasiliu@email.ro,Liviu Vasiliu,1988
38,robert.ene@email.ro,Robert Ene,1996
39,teodor.silivasi@email.ro,Teodor Silivasi,1999
40,ilie.dragan@email.ro,Ilie Dragan,1991
41,apostol.trelles@email.ro,Apostol Trelles,1996
42,grigore.gogean@email.ro,Grigore Gogean,1998
43,martin.izbasa@email.ro,Martin Izbasa,1995
44,ferka.gherea@email.ro,Ferka Gherea,1989
45,flaviu.cretu@email.ro,Flaviu Cretu,1990
46,remus.szilágyi@email.ro,Remus Szilágyi,1996
47,serafim.vulpes@email.ro,Serafim Vulpes,1986
48,grigore.oprea@email.ro,Grigore Oprea,1987
49,gheorghe.dita@email.ro,Gheorghe Dita,1989
50,alexandru.diaconu@email.ro,Alexandru Diaconu,1996
51,silviu.randa@email.ro,Silviu Randa,1998
52,bogdan.albescu@email.ro,Bogdan Albescu,1993
53,wadim.paler@email.ro,Wadim Paler,1996
54,beryx.chitu@email.ro,Beryx Chitu,1989
55,petru.costin@email.ro,Petru Costin,1998
56,drahoslav.marinescu@email.ro,Drahoslav Marinescu,1988
57,petru.artenie@email.ro,Petru Artenie,1997
58,dominik.goldis@email.ro,Dominik Goldis,1996
59,lucian.niculescu@email.ro,Lucian Niculescu,1990
60,geza.catargiu@email.ro,Geza Catargiu,1992
61,iancu.stirbei@email.ro,Iancu Stirbei,1996
62,laurentiu.lazarescu@email.ro,Laurentiu Lazarescu,1988
63,ciodaru.vãduva@email.ro,Ciodaru Vãduva,1991
64,ciodaru.hanganu@email.ro,Ciodaru Hanganu,1995
65,rasvan.ardelean@email.ro,Rasvan Ardelean,1992
66,stefan.saftoiu@email.ro,Stefan Saftoiu,1998
67,niculaie.petri@email.ro,Niculaie Petri,1990
68,abel.muresan@email.ro,Abel Muresan,1989
69,mihai.pîrvulescu@email.ro,Mihai Pîrvulescu,1986
70,remus.tanase@email.ro,Remus Tanase,1988
71,adrian.caragiale@email.ro,Adrian Caragiale,1991
72,timotei.ripnu@email.ro,Timotei Ripnu,1998
73,teodor.filipescu@email.ro,Teodor Filipescu,1991
74,andrei.giurescu@email.ro,Andrei Giurescu,1995
75,emil.apostol@email.ro,Emil Apostol,1993
76,horasiu.marcovici@email.ro,Horasiu Marcovici,1998
77,lucian.cojocaru@email.ro,Lucian Cojocaru,1990
78,nicu.muresanu@email.ro,Nicu Muresanu,1989
79,valentin.lupu@email.ro,Valentin Lupu,1995
80,beryx.dumitrescu@email.ro,Beryx Dumitrescu,1988
